key,company,team,num_female_eng,num_eng,percent_female_eng,last_updated,Submit more data!,https://github.com/triketora/women-in-software-eng
checkout51,Checkout 51,N/A,0,6,0.00,11/8/2013,,
pact,Pact,N/A,1,6,16.67,1/17/2014,,
skillshare,Skillshare,N/A,1,6,16.67,10/28/2013,,
levo,Levo League,N/A,4,6,66.67,10/23/2013,,
playforge,The Playforge,N/A,0,6,0.00,10/23/2013,,
tindie,Tindie,N/A,1,5,20.00,11/7/2013,,
rolledalloys,Rolled Alloys,N/A,1,5,20.00,12/2/2013,,
adzerk,Adzerk,N/A,1,5,20.00,10/23/2013,,
gonovoed,NovoEd,N/A,1,5,20.00,4/5/2014,,
sosh,Sōsh,N/A,0,5,0.00,12/9/2013,,
circa,Circa,N/A,0,5,0.00,2/19/2014,,
kaon,"Kaon Interactive, Inc.",N/A,0,5,0.00,12/2/2013,,
appssavvy,appssavvy,N/A,0,5,0.00,11/27/2013,,
internmatch,Intern Match,N/A,1,4,25.00,11/13/2013,,
lookflow,Yahoo!,LookFlow,1,4,25.00,10/25/2013,,
themuse,The Muse,N/A,3,4,75.00,10/24/2013,,
sifteo,Sifteo,N/A,0,4,0.00,10/24/2013,,
elationemr,elationemr,N/A,1,4,25.00,10/24/2013,,
codeforamerica,Code for America,N/A,2,4,50.00,2/13/2014,,
renewablefunding,Renewable Funding,N/A,1,4,25.00,10/24/2013,,
qstream,Qstream,N/A,0,3,0.00,10/24/2013,,
policystat,PolicyStat,N/A,0,3,0.00,11/26/2013,,
hackbrightacademy,Hackbright Academy,N/A,2,3,66.67,10/24/2013,,
hypothesis,Hypothes.is,N/A,0,3,0.00,10/23/2013,,
yellowsmith,Yellowsmith,N/A,2,3,66.67,10/24/2013,,
goldbely,Goldbely,N/A,0,3,0.00,10/24/2013,,
watsi,Watsi,N/A,0,2,0.00,10/22/2013,,
spitfire,Spitfire Athlete,N/A,2,2,100.00,10/25/2013,,
zerocater,Zerocater,N/A,0,2,0.00,10/24/2013,,
launchbit,LaunchBit,N/A,1,2,50.00,11/4/2013,,
kabinet,Kabinet,N/A,2,2,100.00,10/24/2013,,
togandporter,Tog+Porter,N/A,1,1,100.00,10/31/2013,,
